area;REP;COL;S;N;H;P;PRED;INF;UR;T;DEV1;DEV2;DEV3;SH1;SH2;SH3;C1LP;C1LC  ;F1LP;F1LC;Fsa1 ;Fca1 ;S1;P1;MU1 ;Nveg1;So1;LT1;Cit1 ;LP1; AG1;AU1;Rio1;Roc1; NA1;AZ1;TOTAL 1;C2LP;C2LC  ;F2LP;F2LC;Fsa2 ;Fca2 ;S2;P2 ;MU2 ;Nveg2;So2;LT2;LP2;Cit2;AG2;Cal2;AU2;Rio2;Roc2;NA2;AZ2;TOTAL 2;C3LP;C3LC;F3LP;F3LC;Fsa3;S3;Fca3;Cal3;P3;MU3;Nveg3;So3;LT3;LP3;Cit3;Rio3;AU3;NA3;AZ3;TOTAL 3
C1a;1;A;9;15;1,987;0,25;23,40425532;76,59574468;90,3;23,3;0,764179354;0,752741582;0,703945693;1,76E+16;1,73325E+16;1,69E+15;0,21641791;21,64179104;0,146055437;14,60554371;0;1,49;0,16;37,50;20,76;0;0;2,16;0;0;0,21;0,00;0,00;0,00;16,31;82,22;98,53;0,093080506;9,308050566;0,142914172;14,29141717;0;2,042581504;0,133067199;41,69660679;20,5322688;0,119760479;5,096473719;6,473719228;0,03992016;0;0,266134398;0;0;0;0;16,60013307;83,39986693;100;0,074086114;7,408611366;0,125594728;12,5594728;0;0,076834422;3,023138982;0;43,65672744;19,99172552;0,135937823;6,433405242;6,578208576;0,01773102;0;0,118206803;0;15,70081858;84,29918142;100
C1a;2;A;14;19;2,552;0,25;23,40425532;76,59574468;90,3;23,3;0,764179354;0,752741582;0,703945693;1,76E+16;1,73325E+16;1,69E+15;0,21641791;21,64179104;0,146055437;14,60554371;0;1,49;0,16;37,50;20,76;0;0;2,16;0;0;0,21;0,00;0,00;0,00;16,31;82,22;98,53;0,093080506;9,308050566;0,142914172;14,29141717;0;2,042581504;0,133067199;41,69660679;20,5322688;0,119760479;5,096473719;6,473719228;0,03992016;0;0,266134398;0;0;0;0;16,60013307;83,39986693;100;0,074086114;7,4086114;0,125594728;12,5594728;0;0,076834422;3,023138982;0;43,65672744;19,99172552;0,135937823;6,433405242;6,578208576;0,01773102;0;0,118206803;0;15,70081858;84,29918145;100
C1a;3;A;10;12;2,254;0,25;23,40425532;76,59574468;90,3;23,3;0,764179354;0,752741582;0,703945693;1,76E+16;1,73325E+16;1,69E+15;0,21641791;21,64179104;0,146055437;14,60554371;0;1,49;0,16;37,50;20,76;0;0;2,16;0;0;0,21;0,00;0,00;0,00;16,31;82,22;98,53;0,093080506;9,308050566;0,142914172;14,29141717;0;2,042581504;0,133067199;41,69660679;20,5322688;0,119760479;5,096473719;6,473719228;0,03992016;0;0,266134398;0;0;0;0;16,60013307;83,39986693;100;0,074086114;7,4086114;0,125594728;12,5594728;0;0,076834422;3,023138982;0;43,65672744;19,99172552;0,135937823;6,433405242;6,578208576;0,01773102;0;0,118206803;0;15,70081858;84,29918145;100
C1a;4;A;18;28;2,682;0,25;23,40425532;76,59574468;90,3;23,3;0,764179354;0,752741582;0,703945693;1,76E+16;1,73325E+16;1,69E+15;0,21641791;21,64179104;0,146055437;14,60554371;0;1,49;0,16;37,50;20,76;0;0;2,16;0;0;0,21;0,00;0,00;0,00;16,31;82,22;98,53;0,093080506;9,308050566;0,142914172;14,29141717;0;2,042581504;0,133067199;41,69660679;20,5322688;0,119760479;5,096473719;6,473719228;0,03992016;0;0,266134398;0;0;0;0;16,60013307;83,39986693;100;0,074086114;7,4086114;0,125594728;12,5594728;0;0,076834422;3,023138982;0;43,65672744;19,99172552;0,135937823;6,433405242;6,578208576;0,01773102;0;0,118206803;0;15,70081858;84,29918145;100
C1b;1;B;10;10;2,303;0,205882353;13,46153846;86,53846154;87,4;21,1;0,775024195;0,750168047;0,763714819;1,50813E+16;1,55993E+16;1,67805E+15;0,167020148;16,70201485;0,514846235;51,48462354;0;0;0;12,24814422;19,00848356;0;0;0,556733828;0;0;0;0,00;0,00;0,00;51,48;48,52;100,00;0,125504199;12,55041989;0,404681611;40,46816108;0;0;0;26,39687893;19,24221385;0;0;1,289426701;0;0;0,052899557;0;0;0;0;40,52106064;59,47893936;100;0,13183006;13,18300596;0,302856807;30,28568073;0;0;0;0;30,42074048;20,84030653;0,076338119;0,023488652;3,681846208;0;0;0,516750345;0,971842978;30,80243108;69,19756892;100
C1b;2;B;3;3;1,099;0,205882353;13,46153846;86,53846154;87,4;21,1;0,775024195;0,750168047;0,763714819;1,50813E+16;1,55993E+16;1,67805E+15;0,167020148;16,70201485;0,514846235;51,48462354;0;0;0;12,24814422;19,00848356;0; ;0,556733828;0;0;0;0,00;0,00;0,00;51,48;48,52;100,00;0,125504199;12,55041989;0,404681611;40,46816108;0;0;0;26,39687893;19,24221385;0;0;1,289426701;0;0;0,052899557;0;0;0;0;40,52106064;59,47893936;100;0,13183006;13,183006;0,302856807;30,28568073;0;0;0;0;30,42074048;20,84030653;0,076338119;0,023488652;3,681846208;0;0;0,516750345;0,971842978;30,80243108;69,19756896;100
C1b;3;B;7;8;1,906;0,205882353;13,46153846;86,53846154;87,4;21,1;0,775024195;0,750168047;0,763714819;1,50813E+16;1,55993E+16;1,67805E+15;0,167020148;16,70201485;0,514846235;51,48462354;0;0;0;12,24814422;19,00848356;0;0;0,556733828;0;0;0;0,00;0,00;0,00;51,48;48,52;100,00;0,125504199;12,55041989;0,404681611;40,46816108;0;0;0;26,39687893;19,24221385;0;0;1,289426701;0;0;0,052899557;0;0;0;0;40,52106064;59,47893936;100;0,13183006;13,183006;0,302856807;30,28568073;0;0;0;0;30,42074048;20,84030653;0,076338119;0,023488652;3,681846208;0;0;0,516750345;0,971842978;30,80243108;69,19756896;100
C1b;4;B;6;6;1,792;0,205882353;13,46153846;86,53846154;87,4;21,1;0,775024195;0,750168047;0,763714819;1,50813E+16;1,55993E+16;1,67805E+15;0,167020148;16,70201485;0,514846235;51,48462354;0;0;0;12,24814422;19,00848356;0;0;0,556733828;0;0;0;0,00;0,00;0,00;51,48;48,52;100,00;0,125504199;12,55041989;0,404681611;40,46816108;0;0;0;26,39687893;19,24221385;0;0;1,289426701;0;0;0,052899557;0;0;0;0;40,52106064;59,47893936;100;0,13183006;13,183006;0,302856807;30,28568073;0;0;0;0;30,42074048;20,84030653;0,076338119;0,023488652;3,681846208;0;0;0,516750345;0,971842978;30,80243108;69,19756896;100
C1c;1;C;4;6;1,33;0,35483871;27,86885246;67,21311475;87,7;22,9;0,872166265;0,81719959;0,755030665;1,81362E+16;1,88167E+16;1,87618E+16;0,475392392;47,53923916;0,195264698;19,52646981;0;0;8,220271349;4,735301942;8,273476989;0,266028199;6,757116254;4,362862463;0,319233839;0;0;0,00;0,00;0,00;19,53;80,47;100,00;0,286454183;28,64541833;0,178419655;17,84196547;0;0,803452855;5,312084993;4,767596282;13,25365206;0,26560425;18,8247012;9,94687915;0;0,338645418;0;0;0;0;0;18,64541833;81,35458167;100;0,188800047;18,88000472;0,163662113;16,36621131;0;3,817897501;1,189036084;0;7,045702652;16,87664119;0,286194789;25,40052518;9,92830378;0;0,150473549;0,053108311;0;17,60835571;82,38574337;99,99409908
C1c;2;C;7;7;1,946;0,35483871;27,86885246;67,21311475;87,7;22,9;0,872166265;0,81719959;0,755030665;1,81362E+16;1,88167E+16;1,87618E+16;0,475392392;47,53923916;0,195264698;19,52646981;0;0;8,220271349;4,735301942;8,273476989;0,266028199;6,757116254;4,362862463;0,319233839;0;0;0,00;0,00;0,00;19,53;80,47;100,00;0,286454183;28,64541833;0,178419655;17,84196547;0;0,803452855;5,312084993;4,767596282;13,25365206;0,26560425;18,8247012;9,94687915;0;0,338645418;0;0;0;0;0;18,64541833;81,35458167;100;0,188800047;18,8800047;0,163662113;16,36621131;0;3,817897501;1,189036084;0;7,045702652;16,87664119;0,286194789;25,40052518;9,92830378;0;0,150473549;0,053108311;0;17,60835571;82,38574335;99,99409906
C1c;3;C;7;10;1,834;0,35483871;27,86885246;67,21311475;87,7;22,9;0,872166265;0,81719959;0,755030665;1,81362E+16;1,88167E+16;1,87618E+16;0,475392392;47,53923916;0,195264698;19,52646981;0;0;8,220271349;4,735301942;8,273476989;0,266028199;6,757116254;4,362862463;0,319233839;0;0;0,00;0,00;0,00;19,53;80,47;100,00;0,286454183;28,64541833;0,178419655;17,84196547;0;0,803452855;5,312084993;4,767596282;13,25365206;0,26560425;18,8247012;9,94687915;0;0,338645418;0;0;0;0;0;18,64541833;81,35458167;100;0,188800047;18,8800047;0,163662113;16,36621131;0;3,817897501;1,189036084;0;7,045702652;16,87664119;0,286194789;25,40052518;9,92830378;0;0,150473549;0,053108311;0;17,60835571;82,38574335;99,99409906
C1c;4;C;1;1;0;0,35483871;27,86885246;67,21311475;87,7;22,9;0,872166265;0,81719959;0,755030665;1,81362E+16;1,88167E+16;1,87618E+16;0,475392392;47,53923916;0,195264698;19,52646981;0;0;8,220271349;4,735301942;8,273476989;0,266028199;6,757116254;4,362862463;0,319233839;0;0;0,00;0,00;0,00;19,53;80,47;100,00;0,286454183;28,64541833;0,178419655;17,84196547;0;0,803452855;5,312084993;4,767596282;13,25365206;0,26560425;18,8247012;9,94687915;0;0,338645418;0;0;0;0;0;18,64541833;81,35458167;100;0,188800047;18,8800047;0,163662113;16,36621131;0;3,817897501;1,189036084;0;7,045702652;16,87664119;0,286194789;25,40052518;9,92830378;0;0,150473549;0,053108311;0;17,60835571;82,38574335;99,99409906
C2a;1;A;14;16;2,599;0,413793103;50;47,05882353;85,7;21,8;0,711681404;0,840303372;0,817973914;1,4799E+15;1,84634E+16;1,88345E+15;0,592494011;59,24940112;0,1746074;17,46073995;0;0;1,171147192;9,502262443;8,064945435;0;1,064679265;3,486824594;0;0;0;0;0;0;17,46;82,54;100,00;0,336989033;33,69890329;0,207643735;20,76437355;0,053173812;0,033233632;6,972416085;12,34297109;16,10501828;0;5,144566301;4,885343968;0;0;0;0;0;0;0;20,85078099;79,14921901;100;0,302326268;30,23262679;0,213851331;21,38513314;0,215504517;5,833382535;0,121036783;0;13,36128004;17,34958966;0;7,613508886;3,873177068;0;0;0;0;21,72167444;78,26356498;99,98523942
C2a;2;A;17;22;2,752;0,413793103;50;47,05882353;85,7;21,8;0,711681404;0,840303372;0,817973914;1,4799E+15;1,84634E+16;1,88345E+15;0,592494011;59,24940112;0,1746074;17,46073995;0;0;1,171147192;9,502262443;8,064945435;0;1,064679265;3,486824594;0;0;0;0;0;0;17,46;82,54;100,00;0,336989033;33,69890329;0,207643735;20,76437355;0,053173812;0,033233632;6,972416085;12,34297109;16,10501828;0;5,144566301;4,885343968;0;0;0;0;0;0;0;20,85078099;79,14921901;100;0,302326268;30,2326268;0,213851331;21,38513314;0,215504517;5,833382535;0,121036783;0;13,36128004;17,34958966;0;7,613508886;3,873177068;0;0;0;0;21,72167444;78,26356498;99,98523942
C2a;3;A;2;2;0,6931;0,413793103;50;47,05882353;85,7;21,8;0,711681404;0,840303372;0,817973914;1,4799E+15;1,84634E+16;1,88345E+15;0,592494011;59,24940112;0,1746074;17,46073995;0;0;1,171147192;9,502262443;8,064945435;0;1,064679265;3,486824594;0;0;0;0;0;0;17,46;82,54;100,00;0,336989033;33,69890329;0,207643735;20,76437355;0,053173812;0,033233632;6,972416085;12,34297109;16,10501828;0;5,144566301;4,885343968;0;0;0;0;0;0;0;20,85078099;79,14921901;100;0,302326268;30,2326268;0,213851331;21,38513314;0,215504517;5,833382535;0,121036783;0;13,36128004;17,34958966;0;7,613508886;3,873177068;0;0;0;0;21,72167444;78,26356498;99,98523942
C2c;1;C;9;13;2,138;0,258064516;48,42105263;51,57894737;81,2;22,6;0,517453279;0,659434718;0,686169511;1,00692E+16;1,78578E+16;1,90247E+16;0,83879563;83,87956302;0,039701572;3,970157208;0;0;0;1,012523315;4,716227018;0,266453504;0,02664535;6,128430589;0;0;0;0;0;0;3,97;96,03;100,00;0,45293061;45,29306101;0,122480208;12,24802076;0,931408423;0,033264587;0,153017098;7,843789502;19,08056683;0,146364181;4,550595436;7,524449471;0;0;0;1,097731355;1,097731355;0;0;14,31042512;85,68957488;100;0,375723568;37,57235676;0,117838157;11,78381571;0,942114589;0,174246899;0,035440047;0;9,09037212;21,82516243;0,189013585;2,873597165;6,275841701;0;0,017720024;0,165386887;8,038984052;12,92675724;86,05729474;98,98405198
C2c;2;C;7;8;1,906;0,258064516;48,42105263;51,57894737;81,2;22,6;0,517453279;0,659434718;0,686169511;1,00692E+16;1,78578E+16;1,90247E+16;0,83879563;83,87956302;0,039701572;3,970157208;0;0;0;1,012523315;4,716227018;0,266453504;0,02664535;6,128430589;0;0;0;0;0;0;3,97;96,03;100,00;0,45293061;45,29306101;0,122480208;12,24802076;0,931408423;0,033264587;0,153017098;7,843789502;19,08056683;0,146364181;4,550595436;7,524449471;0;0;0;1,097731355;1,097731355;0;0;14,31042512;85,68957488;100;0,375723568;37,5723568;0,117838157;11,78381571;0,942114589;0,174246899;0,035440047;0;9,09037212;21,82516243;0,189013585;2,873597165;6,275841701;0;0,017720024;0,165386887;8,038984052;12,92675724;86,05729478;98,98405202
C2c;3;C;11;15;2,338;0,258064516;48,42105263;51,57894737;81,2;22,6;0,517453279;0,659434718;0,686169511;1,00692E+16;1,78578E+16;1,90247E+16;0,83879563;83,87956302;0,039701572;3,970157208;0;0;0;1,012523315;4,716227018;0,266453504;0,02664535;6,128430589;0;0;0;0;0;0;3,97;96,03;100,00;0,45293061;45,29306101;0,122480208;12,24802076;0,931408423;0,033264587;0,153017098;7,843789502;19,08056683;0,146364181;4,550595436;7,524449471;0;0;0;1,097731355;1,097731355;0;0;14,31042512;85,68957488;100;0,375723568;37,5723568;0,117838157;11,78381571;0,942114589;0,174246899;0,035440047;0;9,09037212;21,82516243;0,189013585;2,873597165;6,275841701;0;0,017720024;0,165386887;8,038984052;12,92675724;86,05729478;98,98405202
C2c;4;C;14;17;2,558;0,258064516;48,42105263;51,57894737;81,2;22,6;0,517453279;0,659434718;0,686169511;1,00692E+16;1,78578E+16;1,90247E+16;0,83879563;83,87956302;0,039701572;3,970157208;0;0;0;1,012523315;4,716227018;0,266453504;0,02664535;6,128430589;0;0;0;0;0;0;3,97;96,03;100,00;0,45293061;45,29306101;0,122480208;12,24802076;0,931408423;0,033264587;0,153017098;7,843789502;19,08056683;0,146364181;4,550595436;7,524449471;0;0;0;1,097731355;1,097731355;0;0;14,31042512;85,68957488;100;0,375723568;37,5723568;0,117838157;11,78381571;0,942114589;0,174246899;0,035440047;0;9,09037212;21,82516243;0,189013585;2,873597165;6,275841701;0;0,017720024;0,165386887;8,038984052;12,92675724;86,05729478;98,98405202
C3a;1;A;9;10;2,164;0,214285714;58,46153846;40,76923077;78;23,6;0,710934526;0,74096887;0,748461053;1,56208E+16;1,70614E+16;1,7234E+16;0,568831863;56,88318631;0,159315691;15,9315691;0,40096231;0,374231489;0;2,004811548;18,6581128;0,989040364;0;4,758086073;0;0;0;0;0;0;16,71;83,29;100,00;0,448250632;44,82506319;0,136291074;13,62910736;0,219502461;0,844751896;0,372489025;10,11706798;25,47558867;0,372489025;0;4,037514966;0,0066516;0,099773846;0;0;0;0;0;14,69336171;85,3066383;100;0,434414127;43,44141271;0,117056461;11,70564611;0,301204819;0,236239074;1,886959603;0;11,98322703;26,34360973;0,301204819;0;3,735530357;0,020670919;0,044294826;0;0;13,89381054;86,10618946;100
C3a;2;A;10;11;2,272;0,214285714;58,46153846;40,76923077;78;23,6;0,710934526;0,74096887;0,748461053;1,56208E+16;1,70614E+16;1,7234E+16;0,568831863;56,8831863;0,159315691;15,9315691;0,40096231;0,374231489;0;2,004811548;18,6581128;0,989040364;0;4,758086073;0;0;0;0;0;0;16,71;83,29;100,00;0,448250632;44,8250632;0,136291074;13,62910736;0,219502461;0,844751896;0,372489025;10,11706798;25,47558867;0,372489025;0;4,037514966;0,0066516;0,099773846;0;0;0;0;0;14,69336171;85,30663831;100;0,434414127;43,44141271;0,117056461;11,70564611;0,301204819;0,236239074;1,886959603;0;11,98322703;26,34360973;0,301204819;0;3,735530357;0,020670919;0,044294826;0;0;13,89381054;86,10618946;100
C3a;3;A;14;21;2,491;0,214285714;58,46153846;40,76923077;78;23,6;0,710934526;0,74096887;0,748461053;1,56208E+16;1,70614E+16;1,7234E+16;0,568831863;56,8831863;0,159315691;15,9315691;0,40096231;0,374231489;0;2,004811548;18,6581128;0,989040364;0;4,758086073;0;0;0;0;0;0;16,71;83,29;100,00;0,448250632;44,8250632;0,136291074;13,62910736;0,219502461;0,844751896;0,372489025;10,11706798;25,47558867;0,372489025;0;4,037514966;0,0066516;0,099773846;0;0;0;0;0;14,69336171;85,30663831;100;0,434414127;43,44141271;0,117056461;11,70564611;0,301204819;0,236239074;1,886959603;0;11,98322703;26,34360973;0,301204819;0;3,735530357;0,020670919;0,044294826;0;0;13,89381054;86,10618946;100
C3a;4;A;16;17;2,752;0,214285714;58,46153846;40,76923077;78;23,6;0,710934526;0,74096887;0,748461053;1,56208E+16;1,70614E+16;1,7234E+16;0,568831863;56,8831863;0,159315691;15,9315691;0,40096231;0,374231489;0;2,004811548;18,6581128;0,989040364;0;4,758086073;0;0;0;0;0;0;16,71;83,29;100,00;0,448250632;44,8250632;0,136291074;13,62910736;0,219502461;0,844751896;0,372489025;10,11706798;25,47558867;0,372489025;0;4,037514966;0,0066516;0,099773846;0;0;0;0;0;14,69336171;85,30663831;100;0,434414127;43,44141271;0,117056461;11,70564611;0,301204819;0,236239074;1,886959603;0;11,98322703;26,34360973;0,301204819;0;3,735530357;0,020670919;0,044294826;0;0;13,89381054;86,10618946;100
C3b;1;B;13;17;2,507;0,266666667;52;48;82,9;22,3;0,652518524;0,654043673;0,652499758;1,26974E+15;1,56833E+16;1,6214E+16;0,748331999;74,83319989;0,069655725;6,965572458;0;0;0,507072325;5,417667467;10,30157459;0;0;1,974913264;0;0;0;0;0;0;6,97;93,03;100,00;0,544511668;54,45116681;0,132238548;13,2238548;0,046539459;0,126321388;0,538528023;7,878465528;19,49338475;0,325776212;0,106375906;3,689914234;0;0;0,119672894;0;0;0;0;13,51638854;86,48361146;100;0,494418522;49,4419;0,117092907;11,7093;0,1181265;0,3839112;0,2303467;0;11,2042998;23,377237;0,3691454;0,2155809;2,4717973;0,006;0;0,4725061;0;12,5302793;87,4698716;100,0001509
C3b;2;B;4;4;1,386;0,266666667;52;48;82,9;22,3;0,652518524;0,654043673;0,652499758;1,26974E+15;1,56833E+16;1,6214E+16;0,748331999;74,83319989;0,069655725;6,965572458;0;0;0,507072325;5,417667467;10,30157459;0;0;1,974913264;0;0;0;0;0;0;6,97;93,03;100,00;0,544511668;54,45116681;0,132238548;13,2238548;0,046539459;0,126321388;0,538528023;7,878465528;19,49338475;0,325776212;0,106375906;3,689914234;0;0;0,119672894;0;0;0;0;13,51638854;86,48361146;100;0,494418522;49,4419;0,117092907;11,7093;0,1181265;0,3839112;0,2303467;0;11,2042998;23,377237;0,3691454;0,2155809;2,4717973;0,006;0;0,4725061;0;12,5302793;87,4698716;100,0001509
C3b;3;B;3;3;1,099;0,266666667;52;48;82,9;22,3;0,652518524;0,654043673;0,652499758;1,26974E+15;1,56833E+16;1,6214E+16;0,748331999;74,83319989;0,069655725;6,965572458;0;0;0,507072325;5,417667467;10,30157459;0;0;1,974913264;0;0;0;0;0;0;6,97;93,03;100,00;0,544511668;54,45116681;0,132238548;13,2238548;0,046539459;0,126321388;0,538528023;7,878465528;19,49338475;0,325776212;0,106375906;3,689914234;0;0;0,119672894;0;0;0;0;13,51638854;86,48361146;100;0,494418522;49,4419;0,117092907;11,7093;0,1181265;0,3839112;0,2303467;0;11,2042998;23,377237;0,3691454;0,2155809;2,4717973;0,006;0;0,4725061;0;12,5302793;87,4698716;100,0001509
C3b;4;B;7;7;1,946;0,266666667;52;48;82,9;22,3;0,652518524;0,654043673;0,652499758;1,26974E+15;1,56833E+16;1,6214E+16;0,748331999;74,83319989;0,069655725;6,965572458;0;0;0,507072325;5,417667467;10,30157459;0;0;1,974913264;0;0;0;0;0;0;6,97;93,03;100,00;0,544511668;54,45116681;0,132238548;13,2238548;0,046539459;0,126321388;0,538528023;7,878465528;19,49338475;0,325776212;0,106375906;3,689914234;0;0;0,119672894;0;0;0;0;13,51638854;86,48361146;100;0,494418522;49,4419;0,117092907;11,7093;0,1181265;0,3839112;0,2303467;0;11,2042998;23,377237;0,3691454;0,2155809;2,4717973;0,006;0;0,4725061;0;12,5302793;87,4698716;100,0001509
C3c;1;C;1;1;0;0,363636364;30,1369863;71,23287671;77,4;24;0,567163461;0,59364437;0,591244626;1,17938E+15;1,47515E+16;1,56033E+16;0,807435143;80,74351431;0,031826692;3,182669163;0,106980476;0;0;3,904787376;10,72479273;0;0;1,337255951;0;0;0;0;0;0;3,29;96,71;100,00;0,608305051;60,83050509;0,059692553;5,96925534;0,2262594;0;0;12,81692953;18,68636454;0,1131297;0;0,645504758;0;0,0066547;0;0,705396952;0;0;0;6,900911692;93,09908832;100;0,563929099;56,3929099;0,088271787;8,82717873;0,389955687;0,543574594;0;0,596750369;12,46381093;12,46381093;0,147710487;0;1,072378139;0;0,11816839;0,044313146;0;9,858197932;83,20236337;93,0605613
C3c;2;C;3;3;1,099;0,363636364;30,1369863;71,23287671;77,4;24;0,567163461;0,59364437;0,591244626;1,17938E+15;1,47515E+16;1,56033E+16;0,807435143;80,74351431;0,031826692;3,182669163;0,106980476;0;0;3,904787376;10,72479273;0;0;1,337255951;0;0;0;0;0;0;3,29;96,71;100,00;0,608305051;60,83050509;0,059692553;5,96925534;0,2262594;0;0;12,81692953;18,68636454;0,1131297;0;0,645504758;0;0,0066547;0;0,705396952;0;0;0;6,900911692;93,09908832;100;0,563929099;56,3929099;0,088271787;8,82717873;0,389955687;0,543574594;0;0,596750369;12,46381093;12,46381093;0,147710487;0;1,072378139;0;0,11816839;0,044313146;0;9,858197932;83,20236337;93,0605613
C3c;3;C;2;2;0,6931;0,363636364;30,1369863;71,23287671;77,4;24;0,567163461;0,59364437;0,591244626;1,17938E+15;1,47515E+16;1,56033E+16;0,807435143;80,74351431;0,031826692;3,182669163;0,106980476;0;0;3,904787376;10,72479273;0;0;1,337255951;0;0;0;0;0;0;3,29;96,71;100,00;0,608305051;60,83050509;0,059692553;5,96925534;0,2262594;0;0;12,81692953;18,68636454;0,1131297;0;0,645504758;0;0,0066547;0;0,705396952;0;0;0;6,900911692;93,09908832;100;0,563929099;56,3929099;0,088271787;8,82717873;0,389955687;0,543574594;0;0,596750369;12,46381093;12,46381093;0,147710487;0;1,072378139;0;0,11816839;0,044313146;0;9,858197932;83,20236337;93,0605613
C3c;4;C;6;8;1,733;0,363636364;30,1369863;71,23287671;77,4;24;0,567163461;0,59364437;0,591244626;1,17938E+15;1,47515E+16;1,56033E+16;0,807435143;80,74351431;0,031826692;3,182669163;0,106980476;0;0;3,904787376;10,72479273;0;0;1,337255951;0;0;0;0;0;0;3,29;96,71;100,00;0,608305051;60,83050509;0,059692553;5,96925534;0,2262594;0;0;12,81692953;18,68636454;0,1131297;0;0,645504758;0;0,0066547;0;0,705396952;0;0;0;6,900911692;93,09908832;100;0,563929099;56,3929099;0,088271787;8,82717873;0,389955687;0,543574594;0;0,596750369;12,46381093;12,46381093;0,147710487;0;1,072378139;0;0,11816839;0,044313146;0;9,858197932;83,20236337;93,0605613
