area,REP,COL,S,N,H,P,PRED,INF,UR,T,C3LC,NA3,S3,Fca3,P3,MU3,Nveg3,So3,Cit3,AU3
C1a,1,A,9,15,1.987,0.25,23.40425532,76.59574468,90.3,23.3,7.408611366,12.5594728,0.076834422,3.023138982,43.65672744,19.99172552,0.135937823,6.433405242,0,0
C1a,2,A,14,19,2.552,0.25,23.40425532,76.59574468,90.3,23.3,7.4086114,12.5594728,0.076834422,3.023138982,43.65672744,19.99172552,0.135937823,6.433405242,0,0
C1a,3,A,10,12,2.254,0.25,23.40425532,76.59574468,90.3,23.3,7.4086114,12.5594728,0.076834422,3.023138982,43.65672744,19.99172552,0.135937823,6.433405242,0,0
C1a,4,A,18,28,2.682,0.25,23.40425532,76.59574468,90.3,23.3,7.4086114,12.5594728,0.076834422,3.023138982,43.65672744,19.99172552,0.135937823,6.433405242,0,0
C1b,1,B,10,10,2.303,0.205882353,13.46153846,86.53846154,87.4,21.1,13.18300596,30.28568073,0,0,30.42074048,20.84030653,0.076338119,0.023488652,0,0.971842978
C1b,2,B,3,3,1.099,0.205882353,13.46153846,86.53846154,87.4,21.1,13.183006,30.28568073,0,0,30.42074048,20.84030653,0.076338119,0.023488652,0,0.971842978
C1b,3,B,7,8,1.906,0.205882353,13.46153846,86.53846154,87.4,21.1,13.183006,30.28568073,0,0,30.42074048,20.84030653,0.076338119,0.023488652,0,0.971842978
C1b,4,B,6,6,1.792,0.205882353,13.46153846,86.53846154,87.4,21.1,13.183006,30.28568073,0,0,30.42074048,20.84030653,0.076338119,0.023488652,0,0.971842978
C1c,1,C,4,6,1.33,0.35483871,27.86885246,67.21311475,87.7,22.9,18.88000472,16.36621131,3.817897501,1.189036084,7.045702652,16.87664119,0.286194789,25.40052518,0.150473549,0
C1c,2,C,7,7,1.946,0.35483871,27.86885246,67.21311475,87.7,22.9,18.8800047,16.36621131,3.817897501,1.189036084,7.045702652,16.87664119,0.286194789,25.40052518,0.150473549,0
C1c,3,C,7,10,1.834,0.35483871,27.86885246,67.21311475,87.7,22.9,18.8800047,16.36621131,3.817897501,1.189036084,7.045702652,16.87664119,0.286194789,25.40052518,0.150473549,0
C1c,4,C,1,1,0,0.35483871,27.86885246,67.21311475,87.7,22.9,18.8800047,16.36621131,3.817897501,1.189036084,7.045702652,16.87664119,0.286194789,25.40052518,0.150473549,0
C2a,1,A,14,16,2.599,0.413793103,50,47.05882353,85.7,21.8,30.23262679,21.60063766,5.833382535,0.121036783,13.36128004,17.34958966,0,7.613508886,0,0
C2a,2,A,17,22,2.752,0.413793103,50,47.05882353,85.7,21.8,30.2326268,21.60063766,5.833382535,0.121036783,13.36128004,17.34958966,0,7.613508886,0,0
C2a,3,A,2,2,0.6931,0.413793103,50,47.05882353,85.7,21.8,30.2326268,21.60063766,5.833382535,0.121036783,13.36128004,17.34958966,0,7.613508886,0,0
C2c,1,C,9,13,2.138,0.258064516,48.42105263,51.57894737,81.2,22.6,37.57235676,12.7259303,0.174246899,0.035440047,9.09037212,21.82516243,0.189013585,2.873597165,0.017720024,8.038984052
C2c,2,C,7,8,1.906,0.258064516,48.42105263,51.57894737,81.2,22.6,37.5723568,12.7259303,0.174246899,0.035440047,9.09037212,21.82516243,0.189013585,2.873597165,0.017720024,8.038984052
C2c,3,C,11,15,2.338,0.258064516,48.42105263,51.57894737,81.2,22.6,37.5723568,12.7259303,0.174246899,0.035440047,9.09037212,21.82516243,0.189013585,2.873597165,0.017720024,8.038984052
C2c,4,C,14,17,2.558,0.258064516,48.42105263,51.57894737,81.2,22.6,37.5723568,12.7259303,0.174246899,0.035440047,9.09037212,21.82516243,0.189013585,2.873597165,0.017720024,8.038984052
C3a,1,A,9,10,2.164,0.214285714,58.46153846,40.76923077,78,23.6,43.44141271,12.00685093,0.236239074,1.886959603,11.98322703,26.34360973,0.301204819,0,0.044294826,0
C3a,2,A,10,11,2.272,0.214285714,58.46153846,40.76923077,78,23.6,43.44141271,12.00685093,0.236239074,1.886959603,11.98322703,26.34360973,0.301204819,0,0.044294826,0
C3a,3,A,14,21,2.491,0.214285714,58.46153846,40.76923077,78,23.6,43.44141271,12.00685093,0.236239074,1.886959603,11.98322703,26.34360973,0.301204819,0,0.044294826,0
C3a,4,A,16,17,2.752,0.214285714,58.46153846,40.76923077,78,23.6,43.44141271,12.00685093,0.236239074,1.886959603,11.98322703,26.34360973,0.301204819,0,0.044294826,0
C3b,1,B,13,17,2.507,0.266666667,52,48,82.9,22.3,49.4419,11.8274265,0.3839112,0.2303467,11.2042998,23.377237,0.3691454,0.2155809,0,0
C3b,2,B,4,4,1.386,0.266666667,52,48,82.9,22.3,49.4419,11.8274265,0.3839112,0.2303467,11.2042998,23.377237,0.3691454,0.2155809,0,0
C3b,3,B,3,3,1.099,0.266666667,52,48,82.9,22.3,49.4419,11.8274265,0.3839112,0.2303467,11.2042998,23.377237,0.3691454,0.2155809,0,0
C3b,4,B,7,7,1.946,0.266666667,52,48,82.9,22.3,49.4419,11.8274265,0.3839112,0.2303467,11.2042998,23.377237,0.3691454,0.2155809,0,0
C3c,1,C,1,1,0,0.363636364,30.1369863,71.23287671,77.4,24,56.3929099,9.217134417,0.543574594,0,12.46381093,12.46381093,0.147710487,0,0.11816839,0
C3c,2,C,3,3,1.099,0.363636364,30.1369863,71.23287671,77.4,24,56.3929099,9.217134417,0.543574594,0,12.46381093,12.46381093,0.147710487,0,0.11816839,0
C3c,3,C,2,2,0.6931,0.363636364,30.1369863,71.23287671,77.4,24,56.3929099,9.217134417,0.543574594,0,12.46381093,12.46381093,0.147710487,0,0.11816839,0
C3c,4,C,6,8,1.733,0.363636364,30.1369863,71.23287671,77.4,24,56.3929099,9.217134417,0.543574594,0,12.46381093,12.46381093,0.147710487,0,0.11816839,0
